Country,Family
Norway,1.53352355957031
Denmark,1.55112159252167
Iceland,1.6105740070343
Switzerland,1.51691174507141
Finland,1.5402467250824
Netherlands,1.42893922328949
Canada,1.48134899139404
New Zealand,1.54819512367249
Sweden,1.47816216945648
Australia,1.5100419521331798
Israel,1.37628996372223
Costa Rica,1.4164036512374898
Austria,1.4599449634552
United States,1.4199205636978103
Ireland,1.5582311153411899
Germany,1.47252035140991
Belgium,1.4623126983642598
Luxembourg,1.45758366584778
United Kingdom,1.4964600801467902
Chile,1.28402495384216
United Arab Emirates,1.2664102315902699
Brazil,1.43130600452423
Czech Republic,1.4338852167129499
Argentina,1.44045114517212
Mexico,1.2108621597290001
Singapore,1.35381436347961
Malta,1.48841166496277
Uruguay,1.4122278690338101
Guatemala,1.25558519363403
Panama,1.3731925487518302
France,1.38777685165405
Thailand,1.4257924556732198
Taiwan Province of China,1.38456535339355
Spain,1.53209090232849
Qatar,1.27429687976837
Colombia,1.4021829366683998
Saudi Arabia,1.28667759895325
Trinidad and Tobago,1.3802285194397
Kuwait,1.25969874858856
Slovakia,1.5050592422485398
Bahrain,1.3231104612350502
Malaysia,1.28464603424072
Nicaragua,1.28721570968628
Ecuador,1.2861688137054401
El Salvador,1.1821250915527302
Poland,1.44571197032928
Uzbekistan,1.5489691495895401
Italy,1.44492328166962
Russia,1.46928238868713
Belize,1.0814177989959701
Japan,1.43633782863617
Lithuania,1.47351610660553
Algeria,1.1462174654007
Latvia,1.40471494197845
South Korea,1.1282744407653797
Moldova,1.25182557106018
Romania,1.15009129047394
Bolivia,1.2276190519332901
Turkmenistan,1.49314916133881
Kazakhstan,1.3843690156936599
North Cyprus,1.18630337715149
Slovenia,1.4525188207626298
Peru,1.21877038478851
Mauritius,1.20956099033356
Cyprus,1.13136327266693
Estonia,1.47667109966278
Belarus,1.4449452161788898
Libya,1.3575643301010099
Turkey,1.33775317668915
Paraguay,1.50728487968445
"Hong Kong S.A.R., China",1.26279091835022
Philippines,1.25391757488251
Serbia,1.2581897974014298
Jordan,1.2390888929367099
Hungary,1.34313309192657
Jamaica,1.3682180643081698
Croatia,0.9679830074310299
Kosovo,1.1378535032272301
China,1.16083741188049
Pakistan,0.6726906895637509
Indonesia,1.2744446992874099
Venezuela,1.43133759498596
Montenegro,1.23837649822235
Morocco,0.774864435195923
Azerbaijan,1.15240025520325
Dominican Republic,1.4024167060852097
Greece,1.23941457271576
Lebanon,1.1296242475509601
Portugal,1.36704301834106
Bosnia and Herzegovina,1.0693359375
Honduras,1.14394497871399
Macedonia,1.20789301395416
Somalia,0.7211513519287109
Vietnam,1.27749133110046
Nigeria,1.21577048301697
Tajikistan,1.27146327495575
Bhutan,1.3401265144348102
Kyrgyzstan,1.39423859119415
Nepal,1.17928326129913
Mongolia,1.4930112361908001
South Africa,1.38478863239288
Tunisia,0.8683514595031742
Palestinian Territories,1.1556471586227401
Egypt,0.997471392154694
Bulgaria,1.4343794584274299
Sierra Leone,0.984136044979095
Cameroon,0.946018218994141
Iran,0.7115512490272521
Albania,0.8036852478981021
Bangladesh,0.735131740570068
Namibia,1.0984708070755
Kenya,1.0679507255554201
Mozambique,0.870701014995575
Myanmar,1.12323594093323
Senegal,1.17969191074371
Zambia,1.00318729877472
Iraq,0.978613197803497
Gabon,1.1556202173233001
Ethiopia,0.8646692037582401
Sri Lanka,1.25997638702393
Armenia,1.00748372077942
India,0.754372596740723
Mauritania,1.2720308303833001
Congo (Brazzaville),0.8320443630218509
Georgia,0.57061493396759
Congo (Kinshasa),1.22902345657349
Mali,1.2814733982086202
Ivory Coast,0.904780030250549
Cambodia,1.00623834133148
Sudan,1.21400856971741
Ghana,0.873664736747742
Ukraine,1.39453756809235
Uganda,1.12982773780823
Burkina Faso,1.04328000545502
Niger,0.993025004863739
Malawi,0.5125688314437871
Chad,0.953855872154236
Zimbabwe,1.08309590816498
Lesotho,1.19009518623352
Angola,1.1044119596481299
Afghanistan,0.581543326377869
Botswana,1.2215549945831299
Benin,0.43529984354972795
Madagascar,0.9130203723907471
Haiti,0.640449821949005
Yemen,0.93538224697113
South Sudan,0.601323127746582
Liberia,0.8721179366111759
Guinea,0.7912446856498722
Togo,0.4318825304508211
Rwanda,0.945707023143768
Syria,0.396102607250214
Tanzania,1.04198980331421
Burundi,0.629793584346771
Central African Republic,0.0
