Country,Generosity
Denmark,0.36171
Switzerland,0.28083
Iceland,0.47678000000000004
Norway,0.37895
Finland,0.25492
Canada,0.44833999999999996
Netherlands,0.47416
New Zealand,0.49401000000000006
Australia,0.47407
Sweden,0.38254
Israel,0.32288
Austria,0.32865
United States,0.41076999999999997
Costa Rica,0.22553
Puerto Rico,0.22202
Germany,0.30451999999999996
Brazil,0.15775999999999998
Belgium,0.2424
Ireland,0.44963000000000003
Luxembourg,0.27571
Mexico,0.11735
Singapore,0.32706
United Kingdom,0.50156
Chile,0.31595
Panama,0.2418
Argentina,0.10989000000000002
Czech Republic,0.09929
United Arab Emirates,0.26591
Uruguay,0.18056
Malta,0.56237
Colombia,0.15625999999999998
France,0.1216
Thailand,0.58696
Saudi Arabia,0.15457
Taiwan,0.25495
Qatar,0.32388
Spain,0.17665
Algeria,0.07044
Guatemala,0.28808
Suriname,0.16665
Kuwait,0.15965
Bahrain,0.17147
Trinidad and Tobago,0.31935
Venezuela,0.0425
Slovakia,0.13837
El Salvador,0.08877
Malaysia,0.41473999999999994
Nicaragua,0.29773
Uzbekistan,0.34326
Italy,0.16684000000000002
Ecuador,0.10074
Belize,0.23684000000000002
Japan,0.10224
Kazakhstan,0.15011
Moldova,0.19997
Russia,0.027360000000000002
Poland,0.14443
South Korea,0.18824000000000002
Bolivia,0.21698
Lithuania,0.02025
Belarus,0.13942000000000002
North Cyprus,0.26322
Slovenia,0.25738
Peru,0.14527
Turkmenistan,0.22566999999999998
Mauritius,0.36951
Libya,0.17087
Latvia,0.17445
Cyprus,0.27906
Paraguay,0.25296
Romania,0.12889
Estonia,0.08423
Jamaica,0.22245
Croatia,0.18434
Hong Kong,0.40097
Somalia,0.27225
Kosovo,0.27992
Turkey,0.04707
Indonesia,0.56521
Jordan,0.14262
Azerbaijan,0.0564
Philippines,0.21674000000000002
China,0.049589999999999995
Bhutan,0.48546000000000006
Kyrgyzstan,0.38432
Serbia,0.20736999999999997
Bosnia and Herzegovina,0.29889
Montenegro,0.17190999999999998
Dominican Republic,0.21286
Morocco,0.040530000000000004
Hungary,0.099
Pakistan,0.31185
Lebanon,0.23693000000000003
Portugal,0.11690999999999999
Macedonia,0.23506999999999997
Vietnam,0.25075
Somaliland Region,0.51479
Tunisia,0.03936
Greece,0.0
Tajikistan,0.25998000000000004
Mongolia,0.34539000000000003
Laos,0.43078999999999995
Nigeria,0.23219
Honduras,0.2044
Iran,0.38538
Zambia,0.17865999999999999
Nepal,0.3816
Palestinian Territories,0.11154000000000001
Albania,0.1684
Bangladesh,0.19132000000000002
Sierra Leone,0.23897
Iraq,0.19589
Namibia,0.07795
Cameroon,0.2268
Ethiopia,0.29522
South Africa,0.13656
Sri Lanka,0.46978000000000003
India,0.25028
Myanmar,0.81971
Egypt,0.12705999999999998
Armenia,0.07793
Kenya,0.41328000000000004
Ukraine,0.20363
Ghana,0.21203000000000002
Congo (Kinshasa),0.25458000000000003
Georgia,0.06786
Congo (Brazzaville),0.12077
Senegal,0.19103
Bulgaria,0.12793
Mauritania,0.22685999999999998
Zimbabwe,0.18503
Malawi,0.30968
Sudan,0.18077000000000001
Gabon,0.062439999999999996
Mali,0.21064000000000002
Haiti,0.47958
Botswana,0.12425
Comoros,0.1827
Ivory Coast,0.20338
Cambodia,0.40339
Angola,0.12070999999999998
Niger,0.2097
South Sudan,0.25899
Chad,0.18667
Burkina Faso,0.24353000000000002
Uganda,0.27102
Yemen,0.09821
Madagascar,0.2204
Tanzania,0.31472
Liberia,0.24063
Guinea,0.29914
Rwanda,0.23551999999999998
Benin,0.2018
Afghanistan,0.31268
Togo,0.17517
Syria,0.48396999999999996
Burundi,0.2029
