Country,Happiness_Score,Happiness_Rank
Finland,7.632000000000001,1
Norway,7.593999999999999,2
Denmark,7.555,3
Iceland,7.495,4
Switzerland,7.487,5
Netherlands,7.441,6
Canada,7.327999999999999,7
New Zealand,7.324,8
Sweden,7.314,9
Australia,7.272,10
United Kingdom,7.19,11
Austria,7.138999999999999,12
Costa Rica,7.072,13
Ireland,6.977,14
Germany,6.965,15
Belgium,6.9270000000000005,16
Luxembourg,6.91,17
United States,6.886,18
Israel,6.814,19
United Arab Emirates,6.774,20
Czech Republic,6.711,21
Malta,6.627000000000001,22
France,6.489,23
Mexico,6.4879999999999995,24
Chile,6.476,25
Taiwan,6.441,26
Panama,6.43,27
Brazil,6.419,28
Argentina,6.388,29
Guatemala,6.382000000000001,30
Uruguay,6.379,31
Qatar,6.374,32
Saudi Arabia,6.371,33
Singapore,6.343,34
Malaysia,6.322,35
Spain,6.31,36
Colombia,6.26,37
Trinidad & Tobago,6.192,38
Slovakia,6.172999999999999,39
El Salvador,6.167000000000001,40
Nicaragua,6.141,41
Poland,6.122999999999999,42
Bahrain,6.105,43
Uzbekistan,6.096,44
Kuwait,6.082999999999999,45
Thailand,6.072,46
Italy,6.0,47
Ecuador,5.973,48
Belize,5.956,49
Lithuania,5.952000000000001,50
Slovenia,5.9479999999999995,51
Romania,5.945,52
Latvia,5.933,53
Japan,5.915,54
Mauritius,5.891,55
Jamaica,5.89,56
South Korea,5.875,57
Northern Cyprus,5.835,58
Russia,5.81,59
Kazakhstan,5.79,60
Cyprus,5.7620000000000005,61
Bolivia,5.752000000000001,62
Estonia,5.739,63
Paraguay,5.681,64
Peru,5.662999999999999,65
Kosovo,5.662000000000001,66
Moldova,5.64,67
Turkmenistan,5.636,68
Hungary,5.62,69
Libya,5.566,70
Philippines,5.524,71
Honduras,5.504,72
Belarus,5.483,73
Turkey,5.483,74
Pakistan,5.472,75
Hong Kong,5.43,76
Portugal,5.41,77
Serbia,5.398,78
Greece,5.358,79
Lebanon,5.358,80
Montenegro,5.347,81
Croatia,5.321000000000001,82
Dominican Republic,5.3020000000000005,83
Algeria,5.295,84
Morocco,5.254,85
China,5.246,86
Azerbaijan,5.2010000000000005,87
Tajikistan,5.199,88
Macedonia,5.185,89
Jordan,5.1610000000000005,90
Nigeria,5.155,91
Kyrgyzstan,5.131,92
Bosnia and Herzegovina,5.129,93
Mongolia,5.125,94
Vietnam,5.103,95
Indonesia,5.093,96
Bhutan,5.082,97
Somalia,4.982,98
Cameroon,4.975,99
Bulgaria,4.933,100
Nepal,4.88,101
Venezuela,4.806,102
Gabon,4.758,103
Palestinian Territories,4.743,104
South Africa,4.724,105
Iran,4.707,106
Ivory Coast,4.671,107
Ghana,4.657,108
Senegal,4.631,109
Laos,4.623,110
Tunisia,4.592,111
Albania,4.586,112
Sierra Leone,4.571000000000001,113
Congo (Brazzaville),4.559,114
Bangladesh,4.5,115
Sri Lanka,4.471,116
Iraq,4.456,117
Mali,4.447,118
Namibia,4.441,119
Cambodia,4.433,120
Burkina Faso,4.4239999999999995,121
Egypt,4.419,122
Mozambique,4.417,123
Kenya,4.41,124
Zambia,4.377,125
Mauritania,4.356,126
Ethiopia,4.35,127
Georgia,4.34,128
Armenia,4.321000000000001,129
Myanmar,4.308,130
Chad,4.301,131
Congo (Kinshasa),4.245,132
India,4.19,133
Niger,4.166,134
Uganda,4.1610000000000005,135
Benin,4.141,136
Sudan,4.138999999999999,137
Ukraine,4.103,138
Togo,3.9989999999999997,139
Guinea,3.964,140
Lesotho,3.8080000000000003,141
Angola,3.795,142
Madagascar,3.7739999999999996,143
Zimbabwe,3.6919999999999997,144
Afghanistan,3.6319999999999997,145
Botswana,3.59,146
Malawi,3.5869999999999997,147
Haiti,3.582,148
Liberia,3.495,149
Syria,3.4619999999999997,150
Rwanda,3.408,151
Yemen,3.355,152
Tanzania,3.303,153
South Sudan,3.2539999999999996,154
Central African Republic,3.083,155
Burundi,2.905,156
