Country,Trust
Denmark,0.44453000000000004
Switzerland,0.41203
Iceland,0.14975
Norway,0.35775999999999997
Finland,0.41003999999999996
Canada,0.31329
Netherlands,0.29927
New Zealand,0.41903999999999997
Australia,0.32331
Sweden,0.40867
Israel,0.08728
Austria,0.21348000000000003
United States,0.14868
Costa Rica,0.10547000000000001
Puerto Rico,0.12275
Germany,0.28551
Brazil,0.14165999999999998
Belgium,0.26248
Ireland,0.29754
Luxembourg,0.35329
Mexico,0.18355
Singapore,0.46986999999999995
United Kingdom,0.27399
Chile,0.11450999999999999
Panama,0.08423
Argentina,0.07296
Czech Republic,0.03986
United Arab Emirates,0.35561
Uruguay,0.21394000000000002
Malta,0.17554
Colombia,0.053989999999999996
France,0.17808
Thailand,0.02833
Saudi Arabia,0.30008
Taiwan,0.0663
Qatar,0.48049
Spain,0.06137000000000001
Algeria,0.16157
Guatemala,0.08701
Suriname,0.12692
Kuwait,0.23669
Bahrain,0.25772
Trinidad and Tobago,0.01241
Venezuela,0.08304
Slovakia,0.02947
El Salvador,0.10613
Malaysia,0.09081
Nicaragua,0.16292
Uzbekistan,0.28333
Italy,0.02556
Ecuador,0.18037
Belize,0.10770999999999999
Japan,0.18985
Kazakhstan,0.11132
Moldova,0.019030000000000002
Russia,0.03586
Poland,0.055
South Korea,0.07716
Bolivia,0.07746
Lithuania,0.0182
Belarus,0.17457
North Cyprus,0.16577999999999998
Slovenia,0.03635
Peru,0.05292
Turkmenistan,0.28467
Mauritius,0.05202999999999999
Libya,0.10339000000000001
Latvia,0.0889
Cyprus,0.05227999999999999
Paraguay,0.07396
Romania,0.006790000000000001
Estonia,0.18519000000000002
Jamaica,0.04294
Croatia,0.04002
Hong Kong,0.31647
Somalia,0.3118
Kosovo,0.06547
Turkey,0.12347999999999999
Indonesia,0.00322
Jordan,0.13297
Azerbaijan,0.17914000000000002
Philippines,0.11757000000000001
China,0.02745
Bhutan,0.1616
Kyrgyzstan,0.047619999999999996
Serbia,0.04339
Bosnia and Herzegovina,0.0
Montenegro,0.12721
Dominican Republic,0.12372000000000001
Morocco,0.08404
Hungary,0.044719999999999996
Pakistan,0.1388
Lebanon,0.030610000000000002
Portugal,0.01521
Macedonia,0.07047
Vietnam,0.11556
Somaliland Region,0.36794
Tunisia,0.0817
Greece,0.04127
Tajikistan,0.13509000000000002
Mongolia,0.03285
Laos,0.22423
Nigeria,0.0305
Honduras,0.06906
Iran,0.0557
Zambia,0.11479
Nepal,0.07007999999999999
Palestinian Territories,0.10613
Albania,0.05301
Bangladesh,0.12583
Sierra Leone,0.08196
Iraq,0.13635999999999998
Namibia,0.10397999999999999
Cameroon,0.06126
Ethiopia,0.1717
South Africa,0.08415
Sri Lanka,0.07964
India,0.08722
Myanmar,0.20243
Egypt,0.10393
Armenia,0.036160000000000005
Kenya,0.06686
Ukraine,0.01829
Ghana,0.0326
Congo (Kinshasa),0.06075
Georgia,0.3188
Congo (Brazzaville),0.09752999999999999
Senegal,0.11681
Bulgaria,0.00615
Mauritania,0.17955
Zimbabwe,0.08582000000000001
Malawi,0.07564
Sudan,0.10039
Gabon,0.09314
Mali,0.13647
Haiti,0.14476
Botswana,0.10769000000000001
Comoros,0.18437
Ivory Coast,0.1553
Cambodia,0.08092
Angola,0.08434
Niger,0.17176
South Sudan,0.13015
Chad,0.04952
Burkina Faso,0.12533
Uganda,0.06442
Yemen,0.05892000000000001
Madagascar,0.07506
Tanzania,0.05099
Liberia,0.04852
Guinea,0.1192
Rwanda,0.50521
Benin,0.06681000000000001
Afghanistan,0.07112
Togo,0.11587
Syria,0.17232999999999998
Burundi,0.09419
